10%
18%
8%
17%
4%
13%
20%
6%
18%
16%
2%
39%
95%
91%
98%
98%
85%
91%
94%
90%
96%
96%
87%
80%
92%
94%
92%
98%
87%
91%
94%
85%
87%
89%
87%
96%
91%
89%
91%
92%
83%
93%
82%
86%
83%
90%
85%
91%
85%
96%
96%
89%
88%
94%
96%
